Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
".C. Capela, .T. Luwawu-Cabarrot, .K. Huerter, .T. Young, .D. Hunter",ATL,7,94,117.1,119.2,-2.1,65.9,2.8,19.4,27.4,76.0,51.0,0.1,54.1,58.3,104.0,51.3
".L. Aldridge, .K. Durant, .J. Harden, .P. Mills, .D. Bembry",BKN,14,94,117.2,108.8,8.3,67.7,2.91,24.1,16.7,74.7,49.2,0.1,61.6,62.8,102.66,54.5
".H. Barnes, .J. Holiday, .T. Lyles, .D. Jones, .D. Mitchell",SAC,9,93,97.9,128.4,-30.5,63.4,1.96,18.1,16.3,69.3,42.2,0.1,50.0,53.1,98.0,37.4
".L. Markkanen, .J. Allen, .D. Garland, .L. Stevens, .E. Mobley",CLE,9,93,109.0,93.4,15.6,58.4,2.05,18.2,27.0,63.6,48.6,0.1,53.4,55.6,92.67,65.8
".D. DeRozan, .N. Vucevic, .Z. LaVine, .A. Caruso, .A. Dosunmu",CHI,10,92,105.4,127.4,-22.0,58.7,2.2,18.2,13.6,72.8,42.0,0.1,53.8,57.1,96.6,40.7
".T. Rozier, .M. Bridges, .C. Martin, .P. Washington, .L. Ball",CHA,19,92,116.8,116.3,0.5,64.0,3.06,20.0,27.2,66.7,46.4,0.1,56.9,59.8,102.55,52.4
".J. Holiday, .M. Turner, .D. Sabonis, .C. LeVert, .M. Brogdon",IND,10,91,114.0,103.7,10.3,57.5,2.88,17.7,26.7,80.0,51.3,0.1,52.2,54.5,99.38,50.9
".C. Joseph, .J. Grant, .M. Bagley III, .S. Bey, .C. Cunningham",DET,7,90,94.5,104.9,-10.4,66.7,1.42,17.8,22.5,75.3,50.0,0.2,48.7,52.2,97.41,44.0
".K. Porzingis, .D. Finney-Smith, .M. Kleber, .J. Brunson, .L. Doncic",DAL,9,90,111.8,106.1,5.8,64.9,2.29,19.0,20.7,80.4,51.3,0.1,53.4,57.9,97.76,54.0
".D. Murray, .J. Poeltl, .D. White, .K. Johnson, .D. Vassell",SAS,21,89,107.9,107.2,0.6,58.1,2.08,18.1,35.0,70.2,52.1,0.1,53.6,54.3,104.2,49.6
".D. Rose, .T. Gibson, .A. Burks, .O. Toppin, .I. Quickley",NYK,10,89,112.2,84.2,28.0,52.6,1.48,15.6,38.3,67.3,54.1,0.1,52.7,56.0,97.87,62.7
".K. Walker, .E. Fournier, .N. Noel, .J. Randle, .R. Barrett",NYK,10,89,107.4,105.2,2.2,56.0,1.45,16.7,22.5,69.3,47.4,0.2,54.4,57.2,103.03,50.8
".L. James, .R. Westbrook, .A. Bradley, .S. Johnson, .M. Monk",LAL,12,89,122.9,113.5,9.4,59.1,1.93,19.4,27.9,71.9,51.1,0.1,60.2,63.5,103.78,53.5
".A. Horford, .D. Schroder, .M. Smart, .J. Tatum, .G. Williams",BOS,13,88,121.4,103.8,17.5,67.1,2.85,21.7,28.8,72.5,52.0,0.1,60.7,63.9,100.24,62.0
".M. Conley, .B. Bogdanovic, .R. Gobert, .J. Ingles, .R. O'Neale",UTA,7,88,104.5,103.4,1.1,68.7,1.92,18.3,32.6,75.3,54.1,0.1,48.7,53.1,96.25,52.6
".C. Paul, .B. Biyombo, .D. Booker, .M. Bridges, .C. Johnson",PHX,10,87,116.3,118.0,-1.7,61.3,3.27,18.8,31.5,80.5,55.7,0.1,55.2,57.7,99.6,52.9
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole",GSW,11,86,123.4,100.0,23.4,66.7,2.89,20.6,34.1,73.7,54.6,0.1,57.1,59.4,95.67,61.1
".C. Joseph, .J. Grant, .H. Diallo, .S. Bey, .I. Stewart",DET,8,85,102.4,107.6,-5.2,63.9,3.25,16.5,31.2,77.3,51.8,0.1,42.7,46.5,94.95,43.3
".M. Bamba, .C. Okeke, .C. Anthony, .R. Hampton, .F. Wagner",ORL,7,85,104.4,115.1,-10.7,58.7,1.83,17.3,28.1,74.7,50.8,0.1,51.8,53.7,102.31,45.1
".T. Harris, .J. Embiid, .F. Korkmaz, .M. Thybulle, .T. Maxey",PHI,10,85,108.3,104.2,4.1,59.4,2.53,16.4,28.9,72.4,48.8,0.1,48.3,53.8,95.01,53.6
".G. Hayward, .T. Rozier, .M. Bridges, .P. Washington, .L. Ball",CHA,14,84,100.5,118.2,-17.7,73.9,1.76,19.5,21.7,73.2,46.0,0.2,53.4,56.0,108.09,41.7
".H. Barnes, .J. Holiday, .T. Lyles, .D. Sabonis, .D. Fox",SAC,8,84,117.9,120.2,-2.3,64.6,1.83,20.0,27.2,82.5,54.7,0.2,59.1,62.6,107.97,51.3
".B. Bogdanovic, .R. Gobert, .J. Clarkson, .R. O'Neale, .D. Mitchell",UTA,30,83,106.6,104.5,2.1,58.2,1.7,15.4,33.7,76.1,53.8,0.1,50.6,53.8,104.79,50.8
".C. Wood, .K. Porter Jr., .G. Mathews, .J. Green, .K. Martin Jr.",HOU,17,82,110.2,121.2,-11.0,76.1,1.96,21.1,20.0,62.7,42.4,0.1,58.1,60.6,105.97,44.3
